,channelTitle,2020-08-11 00:00:00,2020-08-12 00:00:00,2020-08-13 00:00:00,2020-08-14 00:00:00,2020-08-15 00:00:00,2020-08-16 00:00:00,2020-08-17 00:00:00,2020-08-18 00:00:00,2020-08-19 00:00:00,2020-08-20 00:00:00,2020-08-21 00:00:00,2020-08-22 00:00:00,2020-08-23 00:00:00,2020-08-24 00:00:00,2020-08-25 00:00:00,2020-08-26 00:00:00,2020-08-27 00:00:00,2020-08-28 00:00:00,2020-08-29 00:00:00,2020-08-30 00:00:00,2020-08-31 00:00:00,2020-09-01 00:00:00,2020-09-02 00:00:00,2020-09-03 00:00:00,2020-09-04 00:00:00,2020-09-05 00:00:00,2020-09-06 00:00:00,2020-09-07 00:00:00,2020-09-08 00:00:00,2020-09-09 00:00:00,2020-09-10 00:00:00,2020-09-11 00:00:00,2020-09-12 00:00:00,2020-09-13 00:00:00,2020-09-14 00:00:00,2020-09-15 00:00:00,2020-09-16 00:00:00,2020-09-17 00:00:00,2020-09-18 00:00:00,2020-09-19 00:00:00,2020-09-20 00:00:00,2020-09-21 00:00:00,2020-09-22 00:00:00,2020-09-23 00:00:00,2020-09-24 00:00:00,2020-09-25 00:00:00,2020-09-26 00:00:00,2020-09-27 00:00:00,2020-09-28 00:00:00,2020-09-29 00:00:00,2020-09-30 00:00:00,2020-10-01 00:00:00,2020-10-02 00:00:00,2020-10-03 00:00:00,2020-10-04 00:00:00,2020-10-05 00:00:00,2020-10-06 00:00:00,2020-10-07 00:00:00,2020-10-08 00:00:00,2020-10-09 00:00:00,2020-10-10 00:00:00,2020-10-11 00:00:00,2020-10-12 00:00:00,2020-10-13 00:00:00,2020-10-14 00:00:00,2020-10-15 00:00:00,channel_average,channel_std,trues
123,Emirichu,29,22,36,32,11,29,30,33,41,15,36,25,32,22,28,36,27,36,92,100,66,80,88,88,60,78,71,52,79,47,39,41,55,44,35,39,54,23,39,40,41,31,60,31,30,30,29,26,31,39,23,28,46,55,55,63,24,31,42,34,44,36,42,47,35,35,42.696969696969695,19.203826715377154,7
124,Mariah Carey,49,68,61,78,81,58,78,56,85,83,87,90,66,69,76,69,87,82,80,81,93,97,82,61,77,71,81,73,73,68,77,66,99,73,59,77,79,80,83,80,68,64,68,77,81,84,97,85,100,81,89,81,88,92,81,80,97,83,71,80,73,78,73,63,64,72,77.31818181818181,10.764924933106919,5
125,Bleacher Report,23,0,23,30,34,45,39,0,0,48,46,46,68,23,24,42,57,43,35,23,0,36,24,25,40,55,71,47,100,25,25,49,38,35,41,25,25,37,25,46,47,25,50,37,24,24,23,35,37,82,24,75,25,23,46,0,25,65,24,24,35,23,24,25,37,25,34.878787878787875,18.711133577174937,6
126,Scotty Sire,83,24,43,52,43,47,44,24,49,67,34,76,67,45,50,21,27,18,0,30,39,51,51,66,50,45,40,39,53,37,42,56,58,39,52,68,54,51,36,58,20,42,74,47,55,38,53,29,62,68,46,42,36,29,87,84,100,61,51,50,29,24,50,89,47,47,48.31818181818182,18.290715554130013,6
127,Stephen Sharer,91,86,82,82,66,77,100,64,73,75,77,89,74,79,90,65,52,37,62,68,57,56,73,58,76,72,64,75,80,66,57,82,70,77,71,70,75,64,66,80,74,63,72,65,76,49,76,69,67,65,60,66,64,80,83,76,62,67,70,74,66,82,58,65,63,68,70.57575757575758,10.485286380766384,4
128,James Charles,42,52,36,38,38,37,39,51,55,47,74,100,65,52,53,56,42,49,46,40,38,55,61,41,44,46,35,34,37,43,34,33,35,32,29,38,36,40,38,32,33,32,41,43,35,37,40,30,32,34,30,28,32,34,34,26,38,41,34,43,43,40,44,50,43,37,41.621212121212125,11.537508201533775,4
129,minutephysics,0,63,0,61,62,0,64,0,64,65,64,0,62,65,64,0,79,0,0,0,67,0,66,67,0,0,65,0,0,68,68,0,0,0,67,0,0,100,67,0,0,0,0,68,65,0,0,0,0,0,0,0,0,64,0,0,0,67,0,65,0,63,0,0,0,67,27.37878787878788,33.230492181909895,2
130,MM7Games,20,39,39,19,39,19,100,20,66,81,26,58,39,50,60,50,36,37,33,27,42,21,61,42,31,40,30,47,28,35,49,31,33,33,28,35,28,42,31,20,40,42,32,21,0,31,26,30,42,42,21,28,28,20,26,21,32,21,41,51,30,49,20,32,53,42,36.15151515151515,15.413731013772168,5
131,Overwatch League,19,0,23,26,45,60,31,42,46,8,42,49,41,31,31,17,38,19,15,15,20,8,24,60,71,89,55,27,37,41,16,57,53,72,20,25,24,0,8,19,16,24,12,0,20,28,27,19,20,16,24,17,20,46,27,25,58,8,60,68,100,27,12,12,20,8,30.87878787878788,21.027049787670794,5
132,NPR Music,0,0,47,46,0,46,0,0,0,0,0,0,46,0,0,51,0,0,0,0,0,97,0,0,0,0,48,0,0,51,0,100,0,0,0,51,0,50,0,47,48,51,0,50,0,49,0,47,0,0,49,0,0,0,0,0,0,0,0,48,0,0,98,0,0,0,16.96969696969697,27.551587809367057,3
